Венгеров, Семен Афанасьевич	[' (1855—1920), историк русской литературы и общественной мысли, библиограф — ']	['II']	['358']
Веневитинов, Дмитрий Владимирович	[' (1805—1827), поэт, критик — ']	['III']	['65,317']
Венедиктов А. Г.	[' (ум. 1931/32?), член правления ЗИФа — ']	['II', 'IV']	['603,652', '99,124']
Венецианов, Алексей Гаврилович	[' (1780—1847), художник — ']	['III']	['169']
Вербицкая, Анастасия Александровна	[' (1861—1928), прозаик, драматург — ']	['II']	['236']
Вербловская, Елизавета Федоровна,	[' жена С. Г. Вербловского — ']	['IV']	['23,24']
Вербловская, Софья Григорьевна, 	['бабушка О. Мандельштама — ']	['IV']	['9,23,24,371']
Вербловская, Флора Осиповна	[]	['']	[]
Вербловский, Генрих Осипович, 	['брат Ф. О. Мандельштам — ']	['IV']	['24,371']
Вербловский, Михаил Генрихович, 	['сын Г. О. Вербловского — ']	['IV']	['24,371']
Вербловский, Семен Григорьевич,	[' дядя Ф. О. Мандельштам — ']	['IV']	['23,24,371']
Вергилий, Марон Публий	[' (70—19 до н. э.), римский поэт — ']	['II', 'III']	['118,293', '224,230—232,235,252,256,257,401,403,405']
Верди, Джузеппе	[' (1813—1901), итальянский композитор — ']	['II']	['562']
Верещагин, Василий Васильевич	[' (1842—1904), художник — ']	['III']	['191']
Верлен, Поль	[' (1844—1896), французский поэт — ']	['I', 'II', 'III', 'IV']	['33,86,160,169,174,215,216,241', '278', '45,235', '12']
Вермель, Юлий Матвеевич	[' (1900?—1943?), зоолог, друг и соавтор Б. С. Кузина — ']	['III']	['148—150']
Верфель, Франц	[' (1890—1945), австрийский писатель — ']	['II']	['205,617']
Верхарн, Эмиль	[' (1855—1916), бельгийский поэт — ']	['I']	['216']
Ветов, 	['литератор — ']	['II']	['605']
Вийон, Гийом,	[' каноник монастырской церкви, опекун Ф. Вийона']	['I']	['170']
Вийон, Франсуа	[' (наст. фамилия Монкорбье или Делож; ок. 1431 — после 1463), французский поэт — ']	['I', 'II', 'III']	['169—176,183,186,273—275', '278,315,419', '132,361']
Виллон, Гильом	[]	['']	[]
Виллон, Франсуа	[]	['']	[]
